인물,Politic,활동 시작연도,활동 종료연도,역할,기간 기준
Gorgo of Sparta,Sparta,-490,-480,Queen,term
Harald Hardrada,Norway,1046,1066,King,reign
Frederick I Barbarossa,Holy Roman Empire,1152,1190,Emperor,reign
Trajan,Roman Empire,98,117,Emperor,reign
Theodore Roosevelt,United States,1901,1909,President,term
Tomyris,Massagetae,-530,-529,Queen,reign
Hojo Tokimune,Kamakura Shogunate,1268,1284,Shikken,term
Afonso I of Kongo,Kingdom of Kongo,1509,1543,Manikongo,reign
Catherine de Medici,Kingdom of France,1547,1589,Queen Regent,de_facto_rule
Jadwiga of Poland,Kingdom of Poland,1384,1399,Queen Regnant,reign
John Curtin,Australia,1941,1945,Prime Minister,term
Amanitore,Kush Kingdom,1,20,Kandake,reign
Jayavarman VII,Khmer Empire,1181,1218,King,reign
Tribhuwana Wijayatunggadewi,Majapahit Empire,1328,1350,Queen Regnant,reign
Wilhelmina of the Netherlands,Netherlands,1890,1948,Queen Regnant,reign
Lautaro,Mapuche,1541,1557,Toqui,general_activity
Robert I of Scotland,Kingdom of Scotland,1306,1329,King,reign
Chandragupta Maurya,Maurya Empire,-321,-297,Emperor,reign
Tamar of Georgia,Kingdom of Georgia,1184,1213,Queen Regnant,reign
Poundmaker,Cree,1873,1885,Chief,general_activity
Matthias Corvinus,Kingdom of Hungary,1458,1490,King,reign
Kupe,Maori,10,14,Navigator,legendary_activity
Wilfrid Laurier,Canada,1896,1911,Prime Minister,term
Christina of Sweden,Sweden,1632,1654,Queen Regnant,reign
Eleanor of Aquitaine,Duchy of Aquitaine,1137,1204,Duchess,reign
Wak Chanil Ajaw,Naranjo,682,741,Queen Regent,de_facto_rule
Simon Bolivar,Gran Colombia,1819,1830,President,de_facto_rule
Menelik II,Ethiopian Empire,1889,1913,Emperor,reign
Basil II,Byzantine Empire,976,1025,Emperor,reign
Ambiorix,Eburones,-54,-53,Tribal Leader,general_activity
Lady Trieu,Jiaozhou Resistance,240,248,Rebel Leader,general_activity
Joao III of Portugal,Kingdom of Portugal,1521,1557,King,reign
Ludwig II of Bavaria,Kingdom of Bavaria,1864,1886,King,reign
Sundiata Keita,Mali Empire,1235,1255,Mansa,reign
Yongle Emperor,Ming Dynasty,1402,1424,Emperor,reign
Nzinga Mbande,Ndongo and Matamba,1624,1663,Queen Regnant,reign
Nader Shah,Afsharid Dynasty,1736,1747,Shah,reign
